,title,videoId,viewCount,likeCount,dislikeCount,commentCount,videoDuration,Date
28,BBC Arabic Festival Awards 2017,_fn8BoKKjfE,1665,28,3,2,PT52M7S,2017-06-19T12:47:20.000Z
29,lmGrb: lmdh lm ttwqf lHtjjt rGm tdkhl lmlk? brnmj nqT@ Hwr,lPVhaEGgtqo,2271,41,7,0,PT51M31S,2017-07-07T10:31:49.000Z
30,Sama Jordan - BBC ARABIC nshr@ l`lm hdh lms Dyf lHlq@ mn `mn ldktwr fyz ldwyry,BaECRYnSJTQ,10822,46,8,13,PT29M29S,2018-03-20T14:33:50.000Z
31,wthy'qyt by by sy `n qrb : swryt,JcHfi7EbaM8,20206,102,12,7,PT30M9S,2013-01-15T18:50:37.000Z
32,lfylm lwthy'qy t`z byn lmTrq@ wlsndn,fSa6NYPmw3M,97313,848,80,229,PT34M2S,2016-02-22T19:09:50.000Z
33,Sama Jordan BBC ARABIC l`lm hdh lms Dyf lnshr@ mn `mn lsyd@ rn lSbG,zcNdaAyf2J0,522,7,0,0,PT24M48S,2018-06-04T19:37:32.000Z
34,by_by_sy_trndynG | akhr tTwrt m`rk@ #`fryn w`n SH@ #slmn_l`wd@ nHwr bnh w#mnyty_n_qtl_rjl ?,ql0l0cJrgDo,10145,148,24,21,PT29M39S,2018-01-22T15:33:22.000Z
35,l'myn l`m lltnZym ldwly ljm`@ lkhwn lmslmyn brhym mnyr fy lmshhd,zNPOewRzLjQ,12706,80,32,19,PT40M12S,2017-05-15T11:37:57.000Z
36,Sama Jordan BBC ARABIC l`lm hdh lms Dyf lnshr@ mn `mn ldktwr llw fyz ldwyry,dbEP02NDAGk,2372,23,5,5,PT23M57S,2018-06-30T20:16:22.000Z
37,by_by_sy_trndynG | Sr` jdyd fy #`dn wshr lmtb`yn `l~ #twytr wHtfln b`yd by by sy lthmnyn,KJ2rGA3MXoc,11764,141,20,10,PT29M49S,2018-01-29T15:36:25.000Z
38,"Aline Lahoud in ""Arabic Midnight Talk"" on BBC Arabic Radio",Y3uf261v86s,1233,11,1,0,PT20M8S,2015-10-29T21:48:29.000Z
39,Kenza - BBC Arabic Radio 22-2-2018 / knz@ fy drdsh@ lyly@ `br dh`@ by by sy,IqpXImRBuvo,9238,432,22,158,PT22M43S,2018-03-04T20:27:33.000Z
